USERID;AGENTID;CSESSION;PCTDELAY;CTALKING_I;CTALKING_O;CTALKING;PCTTALKING;CACW;PCTACW;CALLS_I;CALLS_O;CALLS;CONEXAVG_I;CONEXAVG_O;CONEXAVG;CWAITING;PCTWAITING;PCTABC;CDND;PCTDND;CDELAY;XFER;XFERED;THRCOUNT;CTHRTALKING;CHOLD;CCNSTIME;CNSNUM;CCNSEDTIME;CNSEDNUM;CCNSNOHTIME;CNSNOHNUM;ALOGIN;TOTLOGIN;NOANSWER;
69;IVILLAGRA;518:39:29;0;00:19:50;03:23:09;03:42:59;0.71;00:12:29;0.04;0;69;69;00:00:00;00:02:56;00:03:13;67:59:48;13.11;13.86;446:41:28;86.14;00:01:39;0;4;18;00:00:37;00:00:16;00:00:00;0;00:01:06;7;00:00:00;0;1867169;5153222;3;
186;KGIL;105:45:13;0.06;01:01:29;02:02:52;03:04:21;2.9;00:05:04;0.07;18;46;64;00:03:24;00:02:40;00:02:52;62:01:29;58.65;61.68;40:30:15;38.32;00:03:56;0;0;6;00:00:07;00:00:02;00:00:00;0;00:00:08;1;00:00:00;0;380713;37167017;1;
129;MDASILVA;148:12:29;0.09;03:40:37;00:19:30;04:00:07;2.7;00:01:18;0.01;51;13;64;00:04:19;00:01:30;00:03:45;110:59:13;74.88;77.68;33:02:50;22.32;00:08:47;3;1;10;00:00:16;00:00:32;00:00:14;3;00:00:14;2;00:00:00;0;533549;16705357;2;
162;DMARQUES;139:32:48;0.07;02:37:31;01:19:16;03:56:47;2.82;00:02:03;0.02;33;31;64;00:04:46;00:02:33;00:03:41;93:36:26;67.07;69.98;41:50:28;30.02;00:06:05;3;12;8;00:00:03;00:00:19;00:00:09;3;00:00:59;14;00:00:49;3;502368;29030665;2;
168;ACARPI;158:28:33;0.04;02:46:46;00:22:01;03:08:47;1.98;00:01:17;0.01;44;17;61;00:03:47;00:01:17;00:03:05;102:01:13;64.37;66.4;53:05:00;33.6;00:03:49;8;1;25;00:00:15;00:21:41;00:00:47;9;00:08:27;17;00:08:12;3;570513;31182778;0;
170;RURIBE;144:49:52;0.07;02:30:27;01:46:15;04:16:42;2.95;00:09:31;0.1;32;26;58;00:04:42;00:04:05;00:04:25;125:33:06;86.68;89.8;14:43:48;10.2;00:06:18;5;4;6;00:00:01;00:00:30;00:00:09;5;00:00:27;4;00:00:00;0;521392;32277889;2;
121;JRIVERA;106:11:40;0.07;03:29:26;01:13:38;04:43:04;4.44;00:01:34;0.02;33;21;54;00:06:20;00:03:30;00:05:14;39:53:27;37.56;42.09;61:28:27;57.91;00:04:37;1;2;5;00:00:03;00:00:08;00:00:01;1;00:00:31;3;00:00:00;0;382300;14235552;2;
189;GROSILLO;96:44:05;0.05;00:24:56;02:02:36;02:27:32;2.54;00:06:06;0.1;8;46;54;00:03:07;00:02:39;00:02:43;16:54:48;17.48;20.17;77:12:17;79.83;00:03:00;2;1;8;00:00:07;00:01:39;00:00:14;2;00:00:22;2;00:00:00;0;348245;38105737;3;
100;ELOBOS;43:29:25;0.04;00:38:34;02:02:44;02:41:18;6.18;00:02:12;0.08;7;45;52;00:05:30;00:02:43;00:03:06;27:38:32;63.55;69.85;13:06:04;30.15;00:01:08;1;1;10;00:00:12;00:01:49;00:00:02;1;00:00:11;2;00:02:14;5;156565;10722061;1;
105;LVIVAS;129:46:57;0.07;01:41:48;00:36:11;02:17:59;1.77;00:04:38;0.05;31;19;50;00:03:17;00:01:54;00:02:45;90:22:16;69.63;71.52;36:56:19;28.48;00:05:33;3;3;7;00:00:06;00:00:53;00:00:27;4;00:00:12;4;00:00:00;0;467217;11189278;2;
71;AGARAVENTA;88:33:47;0.14;00:54:29;00:14:32;01:09:01;1.29;00:01:55;0.03;37;13;50;00:01:28;00:01:07;00:01:22;44:33:21;50.3;51.76;42:41:36;48.24;00:07:54;10;0;18;00:00:09;00:09:01;00:00:26;10;00:00:00;0;00:00:31;3;318827;5942711;11;
51;GFERREIRA;37:17:48;0.09;00:44:55;00:53:44;01:38:39;4.4;00:02:38;0.11;22;27;49;00:02:02;00:01:59;00:02:00;29:02:06;77.84;82.44;06:32:06;17.56;00:02:09;0;2;9;00:00:06;00:05:19;00:00:00;0;00:00:10;3;00:00:31;4;134268;1440205;0;
171;FRODRIGUES;128:35:08;0.05;01:36:30;00:18:06;01:54:36;1.48;00:00:51;0.01;33;16;49;00:02:55;00:01:07;00:02:20;116:20:18;90.47;92.01;10:14:53;7.99;00:04:24;6;0;8;00:00:10;00:00:55;00:00:32;7;00:00:06;1;00:00:00;0;462908;32740797;1;
67;IMARTINO;67:45:35;0.02;00:33:31;01:54:07;02:27:38;3.63;00:01:12;0.02;6;40;46;00:05:35;00:02:51;00:03:12;04:18:05;6.34;10.01;60:57:22;89.99;00:01:00;1;3;4;00:00:08;00:16:19;00:00:08;1;00:00:18;3;00:00:00;0;243935;3286053;0;
79;RFONTAN;91:46:26;0;00:05:16;04:24:14;04:29:30;4.89;00:01:46;0.03;1;44;45;00:05:16;00:06:00;00:05:59;00:27:10;0.49;5.41;86:47:28;94.59;00:00:24;1;1;3;00:00:07;00:03:38;00:00:22;1;00:00:08;1;00:00:00;0;330386;6880333;1;
158;GDESANTANA;132:05:03;0.09;02:17:19;00:10:49;02:28:08;1.86;00:00:17;0;43;2;45;00:03:11;00:05:24;00:03:17;119:30:05;90.47;92.42;09:59:07;7.58;00:07:26;3;0;7;00:00:03;00:00:38;00:00:26;3;00:00:00;0;00:00:10;1;475503;27003765;4;
150;NSTARK;149:42:54;0;00:29:34;01:49:36;02:19:10;1.54;00:01:30;0.01;0;44;44;00:00:00;00:02:29;00:03:09;13:04:28;8.73;10.28;134:16:34;89.72;00:00:52;0;5;3;00:00:09;00:00:00;00:00:00;0;00:00:20;5;00:00:00;0;538974;22819644;0;
125;RSILVA;121:24:15;0.02;01:25:18;01:03:59;02:29:17;2.04;00:03:58;0.05;7;37;44;00:12:11;00:01:43;00:03:23;71:28:19;58.87;60.98;47:20:20;39.02;00:01:55;0;7;8;00:00:09;00:00:00;00:00:00;0;00:00:26;7;00:00:20;1;437055;15156756;2;
124;BPEREZ;134:29:09;0;00:01:56;01:35:11;01:37:07;1.2;00:03:48;0.04;0;41;41;00:00:00;00:02:19;00:02:22;02:09:22;1.6;2.84;130:38:14;97.16;00:00:26;0;1;3;00:00:10;00:00:00;00:00:00;0;00:00:12;1;00:00:00;0;484149;14719701;0;
159;EDASILVA;125:00:18;0.06;01:33:09;00:32:32;02:05:41;1.67;00:03:01;0.04;24;17;41;00:03:52;00:01:54;00:03:03;92:13:53;73.78;75.55;30:32:41;24.45;00:04:34;0;3;9;00:00:05;00:00:06;00:00:00;0;00:00:28;4;00:00:00;0;450018;27453783;4;
98;NMARTINO;169:45:38;0.02;00:39:40;01:04:03;01:43:43;1.01;00:00:52;0;17;23;40;00:02:20;00:02:47;00:02:35;20:47:22;12.24;13.27;147:10:33;86.73;00:03:01;1;3;9;00:00:09;00:00:06;00:00:03;1;00:00:07;3;00:00:33;3;611138;10565496;3;
155;AGONCALVES;124:55:59;0.07;01:40:45;00:03:19;01:44:04;1.38;00:01:11;0.01;32;4;36;00:03:08;00:00:49;00:02:53;106:30:24;85.25;86.71;16:34:38;13.29;00:05:30;2;1;6;00:00:06;00:00:20;00:00:07;2;00:00:12;2;00:00:14;1;449759;25415580;0;
136;ECUNHA;121:52:38;0.06;01:24:53;00:15:42;01:40:35;1.37;00:02:10;0.02;30;6;36;00:02:49;00:02:37;00:02:47;106:09:21;87.1;88.55;13:55:47;11.45;00:04:45;0;0;13;00:00:12;00:03:16;00:00:00;0;00:00:00;0;00:00:00;0;438758;18132933;5;
156;RSANTOS;140:08:00;0.09;02:03:11;00:01:42;02:04:53;1.48;00:05:26;0.06;27;6;33;00:04:33;00:00:17;00:03:47;127:47:20;91.19;92.82;10:02:23;7.18;00:07:46;5;0;16;00:00:00;00:00:44;00:00:26;5;00:00:12;1;00:00:00;0;504480;25920060;12;
84;MFARIA;108:51:33;0.04;00:18:18;00:59:24;01:17:42;1.18;00:01:18;0.01;8;21;29;00:02:17;00:02:49;00:02:40;51:59:18;47.75;48.98;55:30:30;51.02;00:02:40;1;1;9;00:00:02;00:00:09;00:00:03;1;00:00:05;1;00:00:42;2;391893;7842468;6;
160;ARAMOS;138:03:33;0.04;01:27:54;00:29:47;01:57:41;1.42;00:01:36;0.01;14;13;27;00:06:16;00:02:17;00:04:21;128:35:32;93.14;94.61;07:24:26;5.39;00:03:46;1;4;10;00:00:11;00:00:08;00:00:02;1;00:00:32;7;00:00:24;1;497013;27950796;2;
22;EOROPEZA;121:55:35;0;00:00:00;00:43:20;00:43:20;0.59;00:01:12;0.01;0;26;26;00:00:00;00:01:40;00:01:40;00:06:13;0.08;0.68;121:04:33;99.32;00:00:17;0;0;3;00:00:09;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;438935;561432;0;
72;FGONZALEZ;166:34:14;0;00:20:21;00:47:53;01:08:14;0.68;00:00:26;0;0;23;23;00:00:00;00:02:04;00:02:58;88:42:32;53.25;53.93;76:41:40;46.07;00:00:46;0;6;2;00:00:03;00:00:00;00:00:00;0;00:00:36;6;00:00:00;0;599654;6542365;0;
191;TDASILVA;106:13:11;0.03;00:24:07;00:21:45;00:45:52;0.71;00:01:54;0.02;9;10;19;00:02:40;00:02:10;00:02:24;50:14:11;47.29;48.05;55:09:05;51.95;00:02:09;2;0;1;00:00:00;00:00:28;00:00:12;2;00:00:00;0;00:00:00;0;382391;38588386;1;
94;PRENGEL;115:34:07;0;00:13:46;01:02:58;01:16:44;1.1;00:00:50;0.01;1;16;17;00:13:46;00:03:56;00:04:30;01:11:31;1.03;2.14;113:04:33;97.86;00:00:22;0;2;6;00:00:00;00:00:01;00:00:00;0;00:00:07;2;00:01:28;5;416047;9954358;1;
140;KMENDES;28:51:04;0.05;00:02:43;00:38:20;00:41:03;2.37;00:00:05;0;1;16;17;00:02:43;00:02:23;00:02:24;02:14:11;7.75;10.17;25:54:53;89.83;00:00:52;0;0;5;00:00:03;00:00:00;00:00:00;0;00:00:00;0;00:00:19;1;103864;18896970;2;
172;DDOSANTOS;119:18:00;0.06;01:45:35;00:00:10;01:45:45;1.47;00:00:16;0;16;1;17;00:06:35;00:00:10;00:06:13;106:53:26;89.59;91.12;10:33:48;8.88;00:04:35;1;6;5;00:00:00;00:04:24;00:00:05;2;00:00:10;6;00:00:00;0;429480;33170277;3;
62;MLOPEZ;33:56:32;0.02;00:03:12;02:08:16;02:11:28;6.45;00:00:43;0.03;0;16;16;00:00:00;00:08:01;00:08:13;00:20:19;0.99;7.49;31:23:33;92.51;00:00:27;0;1;1;00:00:00;00:00:00;00:00:00;0;00:00:02;1;00:00:00;0;122192;2280002;1;
130;MGATTI;01:35:02;0.15;00:00:00;00:06:29;00:06:29;6.82;00:00:03;0.05;0;13;13;00:00:00;00:00:29;00:00:29;01:10:15;73.92;80.94;00:18:06;19.06;00:00:09;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;5702;16711059;0;
187;DALVES;36:20:27;0.19;00:59:24;00:00:00;00:59:24;2.72;00:00:27;0.02;13;0;13;00:04:34;00:00:00;00:04:34;23:23:54;64.38;67.31;11:52:18;32.69;00:04:14;1;0;8;00:00:00;00:00:24;00:00:22;1;00:00:10;1;00:00:00;0;130827;37297844;4;
15;MROMERSTEI;33:51:52;0.09;00:24:38;00:09:09;00:33:47;1.66;00:01:43;0.08;9;3;12;00:02:44;00:03:03;00:02:48;31:03:03;91.69;93.52;02:11:26;6.48;00:01:53;0;0;1;00:00:00;00:00:01;00:00:00;0;00:00:00;0;00:00:00;0;121912;122497;1;
174;AFLANAGAN;47:27:52;0.08;00:23:33;00:07:37;00:31:10;1.09;00:00:59;0.03;7;5;12;00:03:21;00:01:31;00:02:35;23:47:36;50.12;51.32;23:05:38;48.68;00:02:23;1;0;4;00:00:00;00:02:34;00:00:08;1;00:00:06;1;00:00:00;0;170872;33874711;2;
25;TST;00:45:39;0.4;00:00:39;00:02:13;00:02:52;6.27;00:00:00;0;2;5;7;00:00:19;00:00:26;00:00:24;00:08:07;17.78;24.45;00:34:29;75.55;00:00:11;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;2739;564171;0;
190;AMARTINEZ;27:50:58;0;00:00:00;00:16:58;00:16:58;1.01;00:00:21;0.02;0;6;6;00:00:00;00:02:49;00:02:49;00:05:43;0.34;1.37;27:27:54;98.63;00:00:02;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;100258;38205995;0;
76;FBAZ;02:06:22;0.52;00:29:17;00:00:00;00:29:17;23.17;00:00:23;0.3;5;0;5;00:05:51;00:00:00;00:05:51;01:31:04;72.06;96.05;00:04:58;3.95;00:00:40;0;0;0;00:00:00;00:01:23;00:00:00;0;00:00:00;0;00:00:00;0;7582;6549947;0;
2;A01;00:09:45;0;00:00:00;00:00:28;00:00:28;4.78;00:00:00;0;0;4;4;00:00:00;00:00:07;00:00:07;00:07:01;71.96;76.74;00:02:16;23.26;00:00:00;0;0;1;00:00:04;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;585;585;0;
65;CDSANTOS;32:29:11;0;00:00:00;00:34:19;00:34:19;1.76;00:00:01;0;0;4;4;00:00:00;00:08:34;00:08:34;00:03:23;0.17;1.93;31:51:26;98.07;00:00:02;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;116951;3042118;0;
86;MSCARSO;09:14:54;0;00:00:00;00:30:40;00:30:40;5.52;00:00:20;0.06;0;4;4;00:00:00;00:07:40;00:07:40;00:01:08;0.2;5.78;08:42:43;94.22;00:00:03;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;33294;7875762;0;
36;MVAGENT;03:24:12;0.01;00:00:00;00:01:58;00:01:58;0.96;00:00:00;0;0;3;3;00:00:00;00:00:39;00:00:39;00:00:39;0.31;1.28;03:21:33;98.72;00:00:02;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;12252;1298784;0;
40;ADECASTRO;01:59:13;0;00:00:00;00:05:01;00:05:01;4.2;00:00:24;0.33;0;3;3;00:00:00;00:01:40;00:01:40;00:00:44;0.61;5.14;01:53:04;94.86;00:00:00;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;7153;1305937;0;
116;ECALLEJAS;02:07:52;0.01;00:00:00;00:14:05;00:14:05;11.01;00:00:02;0.02;0;2;2;00:00:00;00:07:02;00:07:02;00:10:07;7.91;18.95;01:43:37;81.05;00:00:01;0;0;0;00:00:00;00:00:00;00:00:00;0;00:00:00;0;00:00:00;0;7672;13853252;0;
111;LRENDE;10:13:10;0.07;00:11:38;00:00:00;00:11:38;1.89;00:00:00;0;0;0;0;00:00:00;00:00:00;00:00:00;00:16:10;2.63;4.59;09:44:27;95.41;00:00:29;0;3;1;00:00:00;00:00:00;00:00:00;0;00:00:26;3;00:00:00;0;36790;12185812;1;

